error_rate,ntrees,seq,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,edge_latency,cloud_latency,reachability
0.0,0,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_0t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,8526.76672384,287.05,0.304444444444
0.0,0,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_0t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1287.40560013,8676.04376368,0.625
0.0,0,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_0t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1221.14913177,1904.94172967,0.592222222222
0.0,0,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_0t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1207.82226762,1909.44385027,0.592222222222
0.0,0,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_0t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,,2195.40177778,1.0
0.0,1,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_1t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,8094.34338747,,0.197777777778
0.0,1,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_1t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,668.051588939,8612.74807481,0.581111111111
0.0,1,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_1t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,724.727272727,1868.5874977,0.571111111111
0.0,1,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_1t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,736.976584022,1893.81984142,0.571111111111
0.0,1,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/ntrees/outputs_1t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,,2175.46380921,1.0
