error_rate,ntrees,seq,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,reachability
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0
0.0,4,0,max-overlap,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-overlap,1.0
0.0,4,0,max-reachable,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-reachable,1.0
0.0,4,0,min-missing,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_min-missing,1.0
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.13
0.0,4,1,max-overlap,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-overlap,0.135
0.0,4,1,max-reachable,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-reachable,0.155
0.0,4,1,min-missing,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_min-missing,0.04
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.69
0.0,4,2,max-overlap,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-overlap,0.69
0.0,4,2,max-reachable,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-reachable,0.69
0.0,4,2,min-missing,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_min-missing,0.69
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.475
0.0,4,3,max-overlap,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-overlap,0.475
0.0,4,3,max-reachable,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-reachable,0.465
0.0,4,3,min-missing,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_min-missing,0.475
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.475
0.0,4,4,max-overlap,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-overlap,0.475
0.0,4,4,max-reachable,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_max-reachable,0.465
0.0,4,4,min-missing,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,statistics/results/tree_choosing_heuristic/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_min-missing,0.475
