topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,1,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.28,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52665
campus_topo_200b-20h-20ibl.json,1,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.28,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52665
campus_topo_200b-20h-20ibl.json,1,max,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.28,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52665
campus_topo_200b-20h-20ibl.json,1,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.28,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52665
campus_topo_200b-20h-20ibl.json,1,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.28,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52665
campus_topo_200b-20h-20ibl.json,1,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,min,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.28,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52665
campus_topo_200b-20h-20ibl.json,1,min,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,min,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.192,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
