topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,1,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,1,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,1,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,1,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,1,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,1,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,2,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,2,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,2,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,2,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
