topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,1,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,min,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5817
campus_topo_200b-20h-20ibl.json,2,max,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.60435
campus_topo_200b-20h-20ibl.json,2,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.57835
campus_topo_200b-20h-20ibl.json,2,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.58225
campus_topo_200b-20h-20ibl.json,2,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.495425
campus_topo_200b-20h-20ibl.json,2,min,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.3865
campus_topo_200b-20h-20ibl.json,2,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.57875
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5913
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.62385
