error_rate,ntrees,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,bandwidth,choicerandseed,cost,failrandseed,jitter,latency,oracle,overlap,pub_rate,randseed,reach
0,4,importance-chosen,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,red-blue,0.0,results/fprob/results_4t_0.00f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,589.6505,-3.26241748533e+18,1.0,10.0,1.0,7945.97,1.0,8.98867717655e+18,1.0
0,4,importance-chosen,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,red-blue,0.05,results/fprob/results_4t_0.05f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,589.6505,-3.26241748533e+18,1.0,10.0,0.876225,7945.97,0.75155,8.98867717655e+18,0.7393
0,4,importance-chosen,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,red-blue,0.1,results/fprob/results_4t_0.10f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,589.6505,-3.26241748533e+18,1.0,10.0,0.74315,7945.97,0.5674,8.98867717655e+18,0.529375
0,4,importance-chosen,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,red-blue,0.2,results/fprob/results_4t_0.20f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,589.6505,-3.26241748533e+18,1.0,10.0,0.51325,7945.97,0.31125,8.98867717655e+18,0.26755
0,4,importance-chosen,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,red-blue,0.3,results/fprob/results_4t_0.30f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,589.6505,-3.26241748533e+18,1.0,10.0,0.289375,7945.97,0.15995,8.98867717655e+18,0.134125
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,oracle,0.0,results/fprob/results_4t_0.00f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,0.0,-3.26241748533e+18,1.0,10.0,1.0,7945.97,1.0,8.98867717655e+18,1.0
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,oracle,0.05,results/fprob/results_4t_0.05f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,0.0,-3.26241748533e+18,1.0,10.0,0.876225,7945.97,0.75155,8.98867717655e+18,0.876225
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,oracle,0.1,results/fprob/results_4t_0.10f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,0.0,-3.26241748533e+18,1.0,10.0,0.74315,7945.97,0.5674,8.98867717655e+18,0.74315
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,oracle,0.2,results/fprob/results_4t_0.20f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,0.0,-3.26241748533e+18,1.0,10.0,0.51325,7945.97,0.31125,8.98867717655e+18,0.51325
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,oracle,0.3,results/fprob/results_4t_0.30f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,0.0,-3.26241748533e+18,1.0,10.0,0.289375,7945.97,0.15995,8.98867717655e+18,0.289375
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.0,results/fprob/results_4t_0.00f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,1518.686,-3.26241748533e+18,1.0,10.0,1.0,7945.97,1.0,8.98867717655e+18,1.0
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.05,results/fprob/results_4t_0.05f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,1518.686,-3.26241748533e+18,1.0,10.0,0.876225,7945.97,0.75155,8.98867717655e+18,0.765325
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.1,results/fprob/results_4t_0.10f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,1518.686,-3.26241748533e+18,1.0,10.0,0.74315,7945.97,0.5674,8.98867717655e+18,0.58295
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.2,results/fprob/results_4t_0.20f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,1518.686,-3.26241748533e+18,1.0,10.0,0.51325,7945.97,0.31125,8.98867717655e+18,0.325275
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.3,results/fprob/results_4t_0.30f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,8.9914586088e+18,1518.686,-3.26241748533e+18,1.0,10.0,0.289375,7945.97,0.15995,8.98867717655e+18,0.169175
