topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.05f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.05,-1.04773985266e+17,-2.7150771783e+18,0.8891,-8.76173726093e+18,0.8234
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-1.04773985266e+17,-2.7150771783e+18,0.77175,-8.76173726093e+18,0.6646
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.15f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.15,-1.04773985266e+17,-2.7150771783e+18,0.6285,-8.76173726093e+18,0.4902
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.20f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.2,-1.04773985266e+17,-2.7150771783e+18,0.5049,-8.76173726093e+18,0.3645
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.25f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.25,-1.04773985266e+17,-2.7150771783e+18,0.36275,-8.76173726093e+18,0.2491
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.35f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.35,-1.04773985266e+17,-2.7150771783e+18,0.19745,-8.76173726093e+18,0.12345
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.50f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.5,-1.04773985266e+17,-2.7150771783e+18,0.0481,-8.76173726093e+18,0.0275
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.05f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.05,-1.04773985266e+17,-2.7150771783e+18,0.8891,-8.76173726093e+18,0.81
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-1.04773985266e+17,-2.7150771783e+18,0.77175,-8.76173726093e+18,0.64245
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.15f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.15,-1.04773985266e+17,-2.7150771783e+18,0.6285,-8.76173726093e+18,0.4761
