topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,1,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,min,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,1,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.53435
campus_topo_200b-20h-20ibl.json,2,max,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.54105
campus_topo_200b-20h-20ibl.json,2,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.398925
campus_topo_200b-20h-20ibl.json,2,min,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.2568
campus_topo_200b-20h-20ibl.json,2,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5811
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.59935
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5614
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5587
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4418875
campus_topo_200b-20h-20ibl.json,4,min,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.21545
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55285
campus_topo_200b-20h-20ibl.json,8,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5749
campus_topo_200b-20h-20ibl.json,8,max,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.63075
campus_topo_200b-20h-20ibl.json,8,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.562
campus_topo_200b-20h-20ibl.json,8,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5661
campus_topo_200b-20h-20ibl.json,8,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.48650625
campus_topo_200b-20h-20ibl.json,8,min,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.1946
campus_topo_200b-20h-20ibl.json,8,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55065
campus_topo_200b-20h-20ibl.json,16,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.56735
campus_topo_200b-20h-20ibl.json,16,max,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.6378
