algorithm,sub,run,topic,delay,rcv_rate,sim_exp_delay,prio,utils,subd,prio_prob,mus,ro_tol,lams,ntopics,exp_utils,uws,nffs,lat,loss,nflows,exp_rcv,max_utils,exp_delay,nprios,rcv_lams,util_perc
greedy-info-per-byte,ff0,4.5,107.77334869,0.916176676999,0.737332972008,-0.00105545667734,3.91738153738,31.7782164392,1.0,1.0,4343.35609714,-1.0,34.5301182085,200.0,0.458509201278,0.661488950885,9.0,10.0,0.0,9.0,34.5301182085,51.024075133,0.100411081236,9.0,23.5684868402,0.622556448626
greedy-info-per-byte,ff1,4.5,106.603228472,1.32385936596,0.724718662038,-0.000573037568186,3.91738153738,33.4887514553,1.0,1.0,4467.95003808,-1.0,34.6165355034,200.0,0.486139745306,0.701351399733,9.0,10.0,0.0,9.0,34.6165355034,54.1209271689,0.100410795048,9.0,23.3069386629,0.619434837506
greedy-info-per-byte,ff2,4.5,107.78125702,3.06428505445,0.721056410309,-0.000640097037111,3.91738153738,33.1265211485,1.0,1.0,4445.68069666,-1.0,34.6485517278,200.0,0.480756086976,0.693584422558,9.0,10.0,0.0,9.0,34.6485517278,53.5227128173,0.100410704946,9.0,23.0330129997,0.619206481358
greedy-info-per-byte,ff3,4.5,108.412008015,1.93135176571,0.727497083131,-0.00106898949826,3.91738153738,32.8866199544,1.0,1.0,4501.54742556,-1.0,35.1526693286,200.0,0.472484834625,0.681651527808,9.0,10.0,0.0,9.0,35.1526693286,52.5971346487,0.100410508002,9.0,23.5793738399,0.625558115939
greedy-info-per-byte,ff4,4.5,107.98170396,1.0530014906,0.721764320268,-0.000298972009826,3.91738153738,31.2899912259,1.0,1.0,4344.69476001,-1.0,34.196157492,200.0,0.45412295625,0.655160936936,9.0,10.0,0.0,9.0,34.196157492,50.5557576492,0.100410771835,9.0,22.5567748958,0.61941645396
greedy-info-per-byte,ff5,4.5,105.639179537,1.88091391057,0.710660954931,-0.000589848308735,3.91738153738,32.2888541808,1.0,1.0,4320.39292582,-1.0,34.4660570741,200.0,0.472216120391,0.681263855117,9.0,10.0,0.0,9.0,34.4660570741,52.5650095286,0.100411270449,9.0,22.5349792281,0.614491223392
greedy-info-per-byte,ff6,4.5,107.806054171,1.16401661844,0.729867707195,-0.00148203462952,3.91738153738,30.6896906859,1.0,1.0,4454.40613498,-1.0,34.6700357403,200.0,0.443328521417,0.639587859333,9.0,10.0,0.0,9.0,34.6700357403,49.3380148086,0.10041086275,9.0,23.4323272244,0.622015526291
greedy-info-per-byte,ff7,4.5,108.752016936,4.52592997763,0.718516561701,-0.00662618428442,3.91738153738,33.0648913675,1.0,1.0,4513.81020239,-1.0,35.1699614616,200.0,0.477771687268,0.689278843899,9.0,10.0,0.0,9.0,35.1699614616,53.1751841046,0.100410554091,9.0,23.6880842125,0.621779976031
greedy-info-per-byte,ff8,4.5,108.086534457,1.02083936549,0.736306507802,-8.01701150707e-05,3.91738153738,33.094391027,1.0,1.0,4441.75480004,-1.0,34.5499231649,200.0,0.47889164135,0.690894596099,9.0,10.0,0.0,9.0,34.5499231649,53.2953107101,0.100410335806,9.0,23.4578709853,0.621191990641
greedy-info-per-byte,icp0,4.5,106.797287352,1.60063649289,0.726950057442,-0.00442864581782,3.91738153738,32.4648442214,1.0,1.0,4268.29777568,-1.0,33.9375856637,200.0,0.471813758924,0.680683370223,9.0,10.0,0.0,9.0,33.9375856637,52.510599579,0.100410680926,9.0,22.7701332222,0.61897359582
greedy-naive,ff0,4.5,108.436920849,1.66712013963,0.474775732731,-0.000262676770907,3.913996139,29.0120972493,1.0,1.0,4420.80540923,-1.0,34.4229986406,200.0,0.458287828385,0.661169577311,9.0,10.0,0.0,9.0,34.4229986406,51.1456032294,0.100200038098,9.0,17.2197303406,0.565774881853
